,Code AGB,Code CIQUAL,Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,LCI Name,Agriculture,Transformation,Emballage,Transport,Supermarché et distribution,Consommation,Total
36,25620,25620,aides culinaires et ingrédients divers,sauces,"Guacamole, préemballé","Guacamole, prepacked",0.67373752,0.22830009,0.17097517,0.35103859,0.037393191,0.0066875618,1.4681321228
37,20992,20992,aides culinaires et ingrédients divers,algues,"Haricot de mer (Himanthalia elongata), séchée ou déshydratée","Sea thong (Himanthalia elongata), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296,6.5809292646
38,11112,11112,aides culinaires et ingrédients divers,sauces,Harissa (sauce condimentaire),"Harissa (hot spicy sauce), prepacked",0.68572277,0.21092533,0.17736425,0.30380826,0.039628148,0.0066875618,1.4241363198
39,11060,11060,aides culinaires et ingrédients divers,herbes,"Herbes de Provence, séchées","Provence herbs, dried",0.89176567,0,0.47839023,0.17602476,0.015708527,0,1.5618891869999998
40,25621,25621,aides culinaires et ingrédients divers,sauces,Houmous,Hummus,0.30863861,0.15735649,0.17097517,0.27282249,0.037393191,0.0066875618,0.9538735128
41,11008,11008,aides culinaires et ingrédients divers,sauces,Ketchup,Ketchup,0.21644734,0.20167969,0.22613436,0.25452378,0.039628148,0.0066875618,0.9451008797999999
42,20991,20991,aides culinaires et ingrédients divers,algues,"Kombu breton (Laminaria digitata), séchée ou déshydratée","Tangle (Laminaria digitata), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296,6.5809292646
43,20990,20990,aides culinaires et ingrédients divers,algues,"Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée","Kombu or Japanese kelp (Laminaria japonica), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.38440419,0.020134715,0.0099427296,6.7664073145999994
44,20986,20986,aides culinaires et ingrédients divers,algues,"Kombu royal (Saccharina latissima), séchée ou déshydratée","Sea belt (Saccharina latissima), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.38440419,0.020134715,0.0099427296,6.7664073145999994
45,20985,20985,aides culinaires et ingrédients divers,algues,"Laitue de mer (Ulva sp.), séchée ou déshydratée","Sea lettuce (ulva sp.), dried or dehydrated)",4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296,6.5809292646
46,11053,11053,aides culinaires et ingrédients divers,épices,"Laurier, feuille","Bay, leaves",0.17801135,0,0.47839023,0.17574835,0.015708527,0,0.8478584570000001
47,42200,42200,aides culinaires et ingrédients divers,ingrédients divers,Lécithine de soja,Soy lecithin,5.1669394,0.13324149,0.10111942,0.63248192,0.016099071,0,6.049881301
48,11009,11009,aides culinaires et ingrédients divers,ingrédients divers,Levure alimentaire,Nutritional yeast,0,5.4872264,0.0061347374,0.099624062,0.016099071,0,5.6090842704
49,11046,11046,aides culinaires et ingrédients divers,ingrédients divers,Levure chimique ou Poudre à lever,Baking powder or raising agent,0,5.4872264,0.0061347374,0.099624062,0.016099071,0,5.6090842704
50,11010,11010,aides culinaires et ingrédients divers,ingrédients divers,"Levure de boulanger, compressée","Baker's yeast, compressed",0,5.4872264,0.10111942,0.10876678,0.016099071,0,5.713211671
51,11045,11045,aides culinaires et ingrédients divers,ingrédients divers,"Levure de boulanger, déshydratée","Baker's yeast, dehydrated",0,5.4872264,0.0061347374,0.099624062,0.016099071,0,5.6090842704
52,20996,20996,aides culinaires et ingrédients divers,algues,"Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté","Carragheen mosses (Chondrus crispus), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296,6.5809292646
53,11034,11034,aides culinaires et ingrédients divers,herbes,"Marjolaine, séchée","Marjoram, dried",0.88293631,0,0.47839023,0.17575,0.015708527,0,1.5527850669999999
54,11054,11054,aides culinaires et ingrédients divers,sauces,Mayonnaise (70% MG min.),Mayonnaise (70% fat and more),1.9651864,0.39195814,0.24019162,0.36622515,0.039628148,0.0066875618,3.0098770198
55,11079,11079,aides culinaires et ingrédients divers,sauces,Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée,"Mayonnaise, reduced fat or light mayonnaise",1.9651864,0.39195814,0.24019162,0.36622515,0.039628148,0.0066875618,3.0098770198
56,51500,51500,aides culinaires et ingrédients divers,herbes,"Meloukhia, feuilles de corète séchées, en poudre",Molokhia powder (dried jute leaves),0.82914741,0,0.47839023,0.17575,0.015708527,0,1.498996167
57,11027,11027,aides culinaires et ingrédients divers,herbes,"Menthe, fraîche","Mint, fresh",0.19581249,0,0.30248619,0.14343405,0.01727938,0.032148159,0.6911602689999999
58,20916,20916,aides culinaires et ingrédients divers,ingrédients divers,Miso,Miso,0.59892855,0.15372125,0.11005412,0.16569244,0.019530673,0,1.0479270330000001
59,11013,11013,aides culinaires et ingrédients divers,condiments,Moutarde,Mustard,0.72818111,0.23539239,0.62388551,0.218051,0.019530673,0,1.8250406829999999
60,11021,11021,aides culinaires et ingrédients divers,condiments,Moutarde à l'ancienne,"Mustard, with grains",0.8964228,0.27993043,0.71469869,0.22780318,0.019530673,0,2.1383857729999995
61,11048,11048,aides culinaires et ingrédients divers,épices,Noix de muscade,Nutmeg,0.35942299,0,0.47839023,0.34159742,0.015708527,0,1.1951191669999999
62,20987,20987,aides culinaires et ingrédients divers,algues,"Nori (Porphyra sp.), séchée ou déshydratée","Laver (Porphyra sp.), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.38440419,0.020134715,0.0099427296,6.7664073145999994
63,13147,13147,aides culinaires et ingrédients divers,condiments,"Olives vertes, fourrées ou farcies (anchois, poivrons, etc.)","Olive, green, stuffed (anchovy, sweet peppers, etc…)",0.043831345,0.00018543333,0.49851972,0.30725531,0.037393191,0.0066875618,0.89387256113
64,11035,11035,aides culinaires et ingrédients divers,herbes,"Origan, séché","Oregano, dried",0.88293631,0,0.47839023,0.17575,0.015708527,0,1.5527850669999999
65,11049,11049,aides culinaires et ingrédients divers,épices,Paprika,Paprika,7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
66,11061,11061,aides culinaires et ingrédients divers,épices,"Pavot, graine","Poppy, seed",1.1657065,0,0.47839023,0.17574835,0.015708527,0,1.8355536069999998
67,11014,11014,aides culinaires et ingrédients divers,herbes,"Persil, frais","Parsley, fresh",0.59490828,0,0.30248619,0.14343405,0.01727938,0.029142369,1.087250269
68,11024,11024,aides culinaires et ingrédients divers,herbes,"Persil, séché","Parsley, dried",2.6824955,0,0.47839023,0.17575,0.015708527,0,3.352344257
69,25525,25525,aides culinaires et ingrédients divers,aides culinaires,"Pizza, sauce garniture pour",Topping sauce for pizza,0.23297293,0.16802913,0.11005412,0.19066785,0.019530673,0,0.7212547029999999
70,11019,11019,aides culinaires et ingrédients divers,épices,"Poivre blanc, poudre","White pepper, powder",7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
71,11088,11088,aides culinaires et ingrédients divers,épices,Poivre de Cayenne ou piment de Cayenne,Cayenne pepper,7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
72,11015,11015,aides culinaires et ingrédients divers,épices,"Poivre noir, poudre","Black pepper, powder",7.9183712,0.44652647,0.47839023,0.33498802,0.015708527,0,9.193984447
73,11214,11214,aides culinaires et ingrédients divers,aides culinaires,"Préparation culinaire à base de soja, type ""crème de soja""","Soy ""cream"" preparation",0.50628086,0.25089064,0.11005412,0.15748705,0.019530673,0,1.0442433430000002
74,11056,11056,aides culinaires et ingrédients divers,épices,Quatre épices,Mix of 4 spices,4.7634249,0.2624518,0.47839023,0.3346387,0.015708527,0,5.854614157
75,11016,11016,aides culinaires et ingrédients divers,herbes,"Raifort, cru","Horseradish, fresh",0.083506363,0,0.32945583,0.16296786,0.019635659,0.080370398,0.67593611
76,11068,11068,aides culinaires et ingrédients divers,herbes,"Romarin, frais","Rosemary, fresh",0.22251419,0,0.32945583,0.16296786,0.019635659,0.080370398,0.8149439369999999
77,11036,11036,aides culinaires et ingrédients divers,herbes,"Romarin, séché","Rosemary, dried",0.88293631,0,0.47839023,0.17575,0.015708527,0,1.5527850669999999
78,11039,11039,aides culinaires et ingrédients divers,épices,Safran,Saffron,7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
79,11062,11062,aides culinaires et ingrédients divers,herbes,"Sarriette, séchée","Savory, dried",0.88293631,0,0.47839023,0.17575,0.015708527,0,1.5527850669999999
80,11159,11159,aides culinaires et ingrédients divers,sauces,Sauce à la crème,Cream sauce,1.4380756,0.29648764,0.17736425,0.19875464,0.039628148,0.017733084,2.168043362
81,11161,11161,aides culinaires et ingrédients divers,sauces,Sauce à la crème aux épices,Cream sauce with spices,1.234278,0.28839125,0.17736425,0.21822199,0.039628148,0.017733084,1.975616722
82,11162,11162,aides culinaires et ingrédients divers,sauces,Sauce à la crème aux herbes,Cream sauce with herbs,1.234278,0.28839125,0.17736425,0.21822199,0.039628148,0.017733084,1.975616722
83,11122,11122,aides culinaires et ingrédients divers,sauces,"Sauce à l'échalote à la crème, préemballée","Cream sauce with shallots, prepacked",1.2363489,0.27874372,0.17736425,0.20457215,0.039628148,0.017733084,1.954390252
84,11163,11163,aides culinaires et ingrédients divers,sauces,"Sauce aigre douce, préemballée","Sweet and sour sauce, prepacked",0.29125203,0.21171597,0.25201238,0.24873726,0.039628148,0.017733084,1.061078872
85,11168,11168,aides culinaires et ingrédients divers,sauces,"Sauce aïoli, préemballée","Aioli sauce (garlic and olive oil mayonnaise), prepacked",0.65714588,0.223754,0.17736425,0.32476034,0.039628148,0.0066875618,1.4293401798
86,11167,11167,aides culinaires et ingrédients divers,sauces,"Sauce américaine, préemballée","American-style sauce, prepacked",2.2595357,0.87233995,0.17741848,0.21249918,0.039628148,0.0066875618,3.5681090197999996
87,11111,11111,aides culinaires et ingrédients divers,sauces,"Sauce armoricaine, préemballée","Armorican-style sauce, prepacked",2.2595357,0.87233995,0.17741848,0.21249918,0.039628148,0.017733084,3.5791545419999995
88,11140,11140,aides culinaires et ingrédients divers,sauces,"Sauce au beurre blanc, préemballée","White butter sauce, prepacked",3.6423086,0.20171278,0.22712967,0.24248183,0.039628148,0.017733084,4.370994111999999
89,11158,11158,aides culinaires et ingrédients divers,sauces,"Sauce au beurre, préemballée","Sauce, butter, prepacked",3.6423086,0.20171278,0.22712967,0.24248183,0.039628148,0.017733084,4.370994111999999
90,11300,11300,aides culinaires et ingrédients divers,sauces,Sauce au chocolat,Chocolate sauce,0.84353884,5.0713796,0.17736425,0.15994253,0.019530673,0,6.271755893000001
91,11132,11132,aides culinaires et ingrédients divers,sauces,"Sauce au curry, préemballée","Curry sauce, prepacked",0.100474,0.24786967,0.17737375,0.21563936,0.039628148,0.017733084,0.798718012
92,11189,11189,aides culinaires et ingrédients divers,sauces,"Sauce au fromage pour risotto ou pâtes, préemballée","Cheese sauce for risotto or pasta, prepacked",3.1124043,0.3434461,0.17736425,0.22283688,0.039628148,0.017733084,3.913412762
93,11115,11115,aides culinaires et ingrédients divers,sauces,"Sauce au poivre vert, préemballée","Green pepper sauce, prepacked",0.43093677,0.26341312,0.17736425,0.20311671,0.039628148,0.017733084,1.1321920820000002
94,11182,11182,aides culinaires et ingrédients divers,sauces,"Sauce au poivre, chaude, préemballée","Sauce, pepper, prepacked",0.86187355,0.37333806,0.17736425,0.20747877,0.039628148,0.017733084,1.6774158620000001
95,11182,11212,aides culinaires et ingrédients divers,sauces,"Sauce au poivre, condimentaire, froide, préemballée","Sauce, pepper, prepacked",0.86187355,0.37333806,0.17736425,0.20747877,0.039628148,0.017733084,1.6774158620000001
96,11191,11191,aides culinaires et ingrédients divers,sauces,"Sauce au roquefort, préemballée","Roquefort (blue cheese) sauce, prepacked",3.6423086,0.20171278,0.22712967,0.24248183,0.039628148,0.017733084,4.370994111999999
97,11164,11164,aides culinaires et ingrédients divers,sauces,Sauce au vin rouge,Red wine sauce,0.53990612,0.27299551,0.64702539,0.23888365,0.039628148,0.017733084,1.7561719020000002
98,11166,11166,aides culinaires et ingrédients divers,sauces,Sauce au yaourt,Yogurt sauce,0.81983557,0.18596434,0.17736425,0.23601228,0.039628148,0.0066875618,1.4654921498
99,11192,11192,aides culinaires et ingrédients divers,sauces,"Sauce aux champignons et à la crème, préemballée","Cream sauce with mushrooms, prepacked",3.4257637,0.22137695,0.17736425,0.23180661,0.039628148,0.017733084,4.113672741999999
100,11160,11160,aides culinaires et ingrédients divers,sauces,"Sauce aux champignons, préemballée","Mushroom sauce, prepacked",3.157333,0.20596505,0.17736425,0.23166924,0.039628148,0.017733084,3.829692772
101,11100,11100,aides culinaires et ingrédients divers,sauces,"Sauce barbecue, préemballée","Barbecue sauce, prepacked",0.49160551,0.21267703,0.25850159,0.25856853,0.039628148,0.0066875618,1.2676683698
102,11170,11170,aides culinaires et ingrédients divers,sauces,"Sauce basquaise ou Sauce aux poivrons, préemballée","Basque-style sauce or tomato sauce with sweet peppers, prepacked",0.3934754,0.17687606,0.17736425,0.28275069,0.039628148,0.017733084,1.087827632
103,11102,11102,aides culinaires et ingrédients divers,sauces,"Sauce béarnaise, préemballée","Bearnaise sauce, prepacked",4.2641336,0.21265448,0.28373783,0.24657336,0.039628148,0.017733084,5.064460502
104,11143,11143,aides culinaires et ingrédients divers,sauces,"Sauce béchamel, maison","Bechamel sauce, home-made",1.4363299,0.17018272,0.17737781,0.2189968,0.039628148,0.017733084,2.060248462
105,11101,11101,aides culinaires et ingrédients divers,sauces,"Sauce béchamel, préemballée","Bechamel sauce, prepacked",1.4363299,0.17018272,0.17737781,0.2189968,0.039628148,0.017733084,2.060248462
106,11120,11120,aides culinaires et ingrédients divers,sauces,"Sauce bourguignonne, préemballée","Burgundy-style sauce, prepacked",1.6388973,0.25293319,0.60721305,0.24483809,0.039628148,0.0066875618,2.7901973398
107,11196,11196,aides culinaires et ingrédients divers,sauces,"Sauce burger, préemballée","Burger sauce, prepacked",1.9651864,0.39195814,0.24019162,0.36622515,0.039628148,0.0066875618,3.0098770198
108,11128,11128,aides culinaires et ingrédients divers,sauces,"Sauce carbonara, préemballée","Carbonara sauce (cream sauce with lardoons), prepacked",4.0753333,0.40688478,0.17736425,0.2134163,0.039628148,0.017733084,4.9303598619999995
109,11129,11129,aides culinaires et ingrédients divers,sauces,"Sauce chasseur, préemballée","Hunter-style sauce (a garnish of mushrooms, shallots and tomatoes in white wine sauce), prepacked",1.5898804,0.17410483,0.17736425,0.22370974,0.039628148,0.017733084,2.2224204519999997
110,11198,11198,aides culinaires et ingrédients divers,sauces,"Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée","Salad dressing, reduced fat, prepacked",1.9651864,0.39195814,0.24019162,0.36622515,0.039628148,0.0066875618,3.0098770198
111,11187,11187,aides culinaires et ingrédients divers,sauces,"Sauce crudités ou Sauce salade, préemballée","Salad dressing, prepacked",1.9651864,0.39195814,0.24019162,0.36622515,0.039628148,0.0066875618,3.0098770198
112,11199,11199,aides culinaires et ingrédients divers,sauces,"Sauce grand veneur, préemballée","Grand veneur sauce (a reduction of red wine with garlic, shallots and red currant jelly), prepacked",1.6388973,0.25293319,0.60721305,0.24483809,0.039628148,0.017733084,2.801242862
113,11105,11105,aides culinaires et ingrédients divers,sauces,"Sauce hollandaise, préemballée","Hollandaise sauce, prepacked",5.4583532,0.20574421,0.17736425,0.25222008,0.039628148,0.017733084,6.151042972
114,11202,11202,aides culinaires et ingrédients divers,sauces,"Sauce indienne type tandoori ou tikka masala, préemballée","Indian-style sauce, tandoori or garam masala type, prepacked",0.59961877,0.20720732,0.17736425,0.25687548,0.039628148,0.017733084,1.298427052
115,11203,11203,aides culinaires et ingrédients divers,sauces,"Sauce kebab, préemballée","Kebab sauce, prepacked",1.1629796,0.28003605,0.17736425,0.23194928,0.039628148,0.0066875618,1.8986448898000001
116,11121,11121,aides culinaires et ingrédients divers,sauces,"Sauce madère, préemballée","Madeira wine sauce, prepacked",4.3999372,0.18562329,0.17736425,0.21679849,0.039628148,0.017733084,5.037084462
117,11157,11157,aides culinaires et ingrédients divers,sauces,"Sauce moutarde, préemballée",Mustard sauce prepacked,1.2182935,0.29341305,0.18762146,0.2091109,0.039628148,0.0066875618,1.9547546197999999
118,11194,11194,aides culinaires et ingrédients divers,sauces,"Sauce Nuoc Mâm ou Sauce au poisson, préemballée","Nuoc mam sauce or fish sauce, prepacked",0.09473357,0.2007618,0.29120264,0.20942528,0.039628148,0.0066875618,0.8424389997999999
119,11210,11210,aides culinaires et ingrédients divers,sauces,"Sauce pesto rosso, préemballée","Sauce, pesto rosso, prepacked",1.7784526,0.30259953,0.17736425,0.2662668,0.039628148,0.017733084,2.582044412
120,11179,11179,aides culinaires et ingrédients divers,sauces,"Sauce pesto, préemballée","Sauce, pesto, prepacked",1.7784526,0.30259953,0.17736425,0.2662668,0.039628148,0.017733084,2.582044412
121,11205,11205,aides culinaires et ingrédients divers,sauces,"Sauce rouille, préemballée","Mayonnaise flavoured with garlic, chilli pepper and fish broth, prepacked",1.7865331,0.35632558,0.22344436,0.25514508,0.015708527,0,2.6371566470000003
122,11104,11104,aides culinaires et ingrédients divers,sauces,"Sauce soja, préemballée","Soy sauce, prepacked",0.14701489,0.15758012,0.17738018,0.21483158,0.039628148,0.0066875618,0.7431224798
123,11051,11051,aides culinaires et ingrédients divers,sauces,"Sauce tartare, préemballée","Tartare sauce, prepacked",0.86187355,0.37333807,0.17736425,0.20747877,0.039628148,0.0066875618,1.6663703498
124,11114,11114,aides culinaires et ingrédients divers,sauces,"Sauce tomate à la viande ou Sauce bolognaise, préemballée","Tomato sauce, with meat or Bolognese sauce, prepacked",11.465773,0.24598379,0.17736425,0.2458415,0.039628148,0.017733084,12.192323772
125,11208,11208,aides culinaires et ingrédients divers,sauces,"Sauce tomate au fromage, préemballée","Tomato sauce, w cheese, prepacked",0.54253573,0.1892963,0.17736425,0.27258073,0.039628148,0.017733084,1.2391382420000001
126,11177,11177,aides culinaires et ingrédients divers,sauces,"Sauce tomate aux champignons, préemballée","Tomato sauce, w mushrooms, prepacked",0.54255815,0.16802913,0.17736425,0.27328728,0.039628148,0.017733084,1.218600042
127,11107,11107,aides culinaires et ingrédients divers,sauces,"Sauce tomate aux oignons, préemballée","Tomato sauce, with onions, prepacked",0.23297293,0.16802913,0.17736425,0.27338811,0.039628148,0.017733084,0.909115652
128,11178,11178,aides culinaires et ingrédients divers,sauces,"Sauce tomate aux olives, préemballée","Tomato sauce, w olives, prepacked",0.2278311,0.1667118,0.17736425,0.27258073,0.039628148,0.017733084,0.901849112
129,11207,11207,aides culinaires et ingrédients divers,sauces,"Sauce tomate aux petits légumes, préemballée","Tomato sauce, w vegetables, prepacked",0.25558464,0.17303598,0.17736425,0.27505819,0.039628148,0.017733084,0.938404292
130,11219,11219,aides culinaires et ingrédients divers,sauces,"Sauce végétale type bolognaise, préemballée",Vegetable Bolognese sauce,0.17688461,0.44442601,0.52619775,0.18069628,0.019530673,0,1.3477353230000002
131,11110,11110,aides culinaires et ingrédients divers,sauces,"Sauce vinaigrette (50 à 75% d'huile), préemballée","Salad dressing, (50-75% of oil), prepacked",1.5349391,0.39418772,0.34811494,0.35423001,0.039628148,0.0066875618,2.6777874798
132,11069,11069,aides culinaires et ingrédients divers,herbes,"Sauge, fraîche","Sage, fresh",0.22251419,0,0.32945583,0.16296786,0.019635659,0.080370398,0.8149439369999999
133,11037,11037,aides culinaires et ingrédients divers,herbes,"Sauge, séchée","Sage, dried",0.88293631,0,0.47839023,0.17575,0.015708527,0,1.5527850669999999
134,11044,11044,aides culinaires et ingrédients divers,sels,Sel au céleri,Celery salt,0.29805322,0,0.17736425,0.11062475,0.019530673,0,0.605572893
135,11058,11058,aides culinaires et ingrédients divers,sels,"Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme)","Salt, white, for human consumption (sea, igneous or rock), iodine added, no other enrichment",0.29805322,0,0.17736425,0.11062475,0.019530673,0,0.605572893
136,11017,11017,aides culinaires et ingrédients divers,sels,"Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)","Salt, white, for human consumption (sea, igneous or rock), no enrichment",0.29805322,0,0.17736425,0.11062475,0.019530673,0,0.605572893
137,11083,11083,aides culinaires et ingrédients divers,sels,"Sel marin gris, non iodé, non fluoré","Sea salt, grey, no enrichment",0.29805322,0,0.17736425,0.11062475,0.019530673,0,0.605572893
138,31089,31089,aides culinaires et ingrédients divers,ingrédients divers,Sirop d'agave,"Syrup, agave",3.8386596,0.58202628,0.070004518,0.21400775,0.012202598,0,4.716900746000001
139,31034,31034,aides culinaires et ingrédients divers,ingrédients divers,Sirop d'érable,"Syrup, maple",0.09490332,1.15823,0.49851972,0.25293296,0.013547929,0,2.018133929
140,20919,20919,aides culinaires et ingrédients divers,ingrédients divers,Sirop léger pour fruits appertisés au sirop,Light syrup for canned fruits in syrup,0.035717522,0.023502681,0.49851972,0.15507625,0.017321188,0,0.730137361
141,20918,20918,aides culinaires et ingrédients divers,ingrédients divers,Sirop pour fruits appertisés au sirop,Syrup for canned fruits in syrup,0.035717522,0.023502681,0.49851972,0.15507625,0.017321188,0,0.730137361
